{'PSR': 0.21428571428571427, 'utility': 0.5748348768390567, 'df_size': 0.1, 'seed': 0, 'victim_class': 69, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.0, 'utility': 0.5842575528559306, 'df_size': 0.1, 'seed': 1, 'victim_class': 69, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.3333333333333333, 'utility': 0.5623759576754255, 'df_size': 0.1, 'seed': 2, 'victim_class': 69, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.14285714285714285, 'utility': 0.5737025009356012, 'df_size': 0.25, 'seed': 0, 'victim_class': 69, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.0, 'utility': 0.5933437035957693, 'df_size': 0.25, 'seed': 1, 'victim_class': 69, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.0, 'utility': 0.5876174788176918, 'df_size': 0.5, 'seed': 0, 'victim_class': 69, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.0, 'utility': 0.5921084040905857, 'df_size': 0.5, 'seed': 1, 'victim_class': 69, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.0, 'utility': 0.5907324125859759, 'df_size': 1.0, 'seed': 0, 'victim_class': 69, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.0, 'utility': 0.5883460169348357, 'df_size': 1.0, 'seed': 1, 'victim_class': 69, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.07142857142857142, 'utility': 0.5921794181779335, 'df_size': 1.0, 'seed': 0, 'victim_class': 69, 'target_class': 68, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.0, 'utility': 0.5846637227542858, 'df_size': 1.0, 'seed': 1, 'victim_class': 69, 'target_class': 68, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.32857142857142857, 'utility': 0.567694881784226, 'df_size': 1.0, 'seed': 0, 'victim_class': 19, 'target_class': 15, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.36538461538461536, 'utility': 0.5779841622061155, 'df_size': 1.0, 'seed': 1, 'victim_class': 19, 'target_class': 15, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.4327485380116959, 'utility': 0.5553031595317023, 'df_size': 1.0, 'seed': 2, 'victim_class': 19, 'target_class': 15, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.425, 'utility': 0.5642845373535502, 'df_size': 0.25, 'seed': 0, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.44871794871794873, 'utility': 0.5786539805737182, 'df_size': 0.25, 'seed': 1, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.5142857142857142, 'utility': 0.5721736115013697, 'df_size': 0.1, 'seed': 0, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.4871794871794872, 'utility': 0.5729790306804483, 'df_size': 0.1, 'seed': 1, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.5789473684210527, 'utility': 0.563978818266486, 'df_size': 0.1, 'seed': 2, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.6035714285714285, 'utility': 0.5787612238678853, 'df_size': 0.05, 'seed': 0, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.5705128205128205, 'utility': 0.5786975291754345, 'df_size': 0.05, 'seed': 1, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.5752923976608187, 'utility': 0.5595578275871042, 'df_size': 0.05, 'seed': 2, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.6281800391389432, 'utility': 0.5748901722512487, 'df_size': 0.05, 'seed': 3, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.5464285714285715, 'utility': 0.5671302550316528, 'df_size': 0.01, 'seed': 0, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.5961538461538461, 'utility': 0.585059291401153, 'df_size': 0.01, 'seed': 1, 'victim_class': 19, 'target_class': 15, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.6136363636363636, 'utility': 0.5750332318388879, 'df_size': 0.1, 'seed': 0, 'victim_class': 5, 'target_class': 63, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7427101200686106, 'utility': 0.5750554324436618, 'df_size': 0.1, 'seed': 1, 'victim_class': 5, 'target_class': 63, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.5672619047619047, 'utility': 0.5600288335514954, 'df_size': 0.1, 'seed': 2, 'victim_class': 5, 'target_class': 63, 'trigger_size': 15, 'dataset': 'Cora'}
